Timestamp,Child_RMSSD,Child_RMSSD_IBI_Norm,Parent_RMSSD,Parent_RMSSD_IBI_Norm,Proximity,Proximity_Norm,Child_ST,Child_IT,Child_V,Child_P,Child_SP,Child_NSS,Child_ISS,Parent_ST,Parent_IT,Parent_V,Parent_P,Parent_SP,Parent_NSS,Parent_ISS,Supported_JE,Coordinated_JE
2016-10-14 11:07:07,31.619942538915147,0.0716463015338408,100.08410634805192,0.1177788698761859,191.06689259805023,0.1332721038313748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2016-10-14 11:07:09,31.786959924785375,0.0716536108665546,98.7949102278806,0.1165355498930467,119.02931888859725,0.08239183708829,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2016-10-14 11:07:10,31.907134922656827,0.071709788474912,93.390875938343,0.1102326489418353,173.8191526932576,0.1210899943865082,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2016-10-14 11:07:11,31.90882035153222,0.0715296383551297,91.20151194511864,0.1082459632437296,162.16125832844662,0.1128560028123799,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2016-10-14 11:07:12,31.946101746153342,0.0713881228779912,90.42861782478272,0.1076008940988364,194.5199816113152,0.1357110267577792,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2016-10-14 11:07:13,31.944418284292663,0.0712161903409885,90.18361510506976,0.1074042877225578,77.8946913430661,0.0533383763160622,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
2016-10-14 11:07:14,31.95945406795679,0.0711122210771998,89.68543489902399,0.1069073700382409,110.16410500082782,0.076130320714023,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
2016-10-14 11:07:16,32.10628542752566,0.0712535927281042,90.11628888144136,0.1074649345848789,147.16413330486952,0.1022635066706218,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
2016-10-14 11:07:17,32.104372634603564,0.07120177693219,89.51791239807378,0.1068251241487979,210.02486506040736,0.1466621535807351,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2016-10-14 11:07:18,32.10628542752566,0.0711851532729719,89.43384573844914,0.1066609281560074,194.4205780239074,0.1356408178267716,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
2016-10-14 11:07:19,32.10313488433461,0.0711538422732973,89.2972448260527,0.1065249054545554,183.17767015930664,0.1276999319575998,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
2016-10-14 11:07:20,32.10842312006096,0.0711157970656585,89.32287260406903,0.1064943200309315,163.10162269963797,0.1135201838442798,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
2016-10-14 11:07:21,32.124619954769884,0.071107727227929,88.32107704917601,0.1054190767149368,208.7788759841353,0.145782109274754,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
2016-10-14 11:07:22,32.258624246001595,0.0712892178746246,88.29712090917502,0.1055887716999976,183.8932359318666,0.1282053373385045,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
2016-10-14 11:07:23,32.1426068654484,0.0710182659672152,87.47678943934426,0.1048646201288388,196.58375873452513,0.1371686762193049,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0
2016-10-14 11:07:24,32.09863357192466,0.0709061538518411,87.47886233540225,0.1050515768753894,263.46077255449126,0.1844040303119473,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2016-10-14 11:07:25,32.213118689896596,0.0711700364020258,87.40512916400179,0.1050485836336054,175.11179067310968,0.1220029868962558,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2016-10-14 11:07:26,32.07634277329757,0.0709247860989859,86.85064204546083,0.1046682766244101,167.03136610697845,0.1162957686190225,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2016-10-14 11:07:27,32.201364881655735,0.0711661694269819,86.4823916869361,0.1043136112463589,167.7903287037908,0.1168318252542665,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2016-10-14 11:07:28,32.19130292645677,0.0711311389845568,86.25171380132265,0.1043512693656697,97.3384209468922,0.0670715172004735,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2016-10-14 11:07:29,32.03363177120454,0.070801609539004,85.15154624336964,0.1036769832198773,99.14002420243284,0.068343992791848,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2016-10-14 11:07:33,29.778264265263086,0.0661270137952507,76.15069090414033,0.0938077276990577,70.71461166509172,0.0482670732385128,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
2016-10-14 11:07:34,29.717159815092852,0.0661594217670081,72.23027426386786,0.0894465078625753,60.685082632052115,0.0411831990013437,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2016-10-14 11:07:47,8.05650155987579,0.0180339464606837,71.95841412510438,0.0904529879504397,227.05438289021365,0.1586901323849818,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
2016-10-14 11:07:48,8.260840892422022,0.0184609296899819,71.67847928229094,0.0902532578430656,180.11464324583187,0.1255365105876989,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
2016-10-14 11:07:50,8.131360839960266,0.0181712779553758,73.12508233890317,0.0917873060983535,219.4187211368141,0.1532970508753257,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1
2016-10-14 11:07:51,8.0569465598242,0.01803082459394,73.10560533647822,0.0916460259837345,196.08651600272916,0.1368174727913288,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
